gl_entry_id,entry_date,gl_account_code,account_description,entry_type,debit_gbp,credit_gbp,policy_reference,period,posted_by,approved
GLE-0000794,2025-05-16,GL-5001,Operating Costs,Premium Receipt,0.00,34231.38,POL-0073969,2025-05,raj.patel,Y
GLE-0000795,2025-04-04,GL-4001,Premium Income,Premium Receipt,0.00,24757.29,POL-0006288,2025-04,sophie.clarke,Y
GLE-0000796,2025-03-02,GL-4004,Reinsurance Recoveries,Write-off,27836.05,0.00,POL-0059162,2025-03,sophie.clarke,Y
GLE-0000797,2025-05-10,GL-5002,Technology Costs,Commission,24232.00,0.00,POL-0079629,2025-05,marcus.webb,Y
GLE-0000798,2025-05-03,GL-4003,Commission Expense,Reinsurance,2479.83,0.00,POL-0033706,2025-05,marcus.webb,Y
GLE-0000799,2025-06-22,GL-5001,Operating Costs,Commission,0.00,23451.09,POL-0017995,2025-06,raj.patel,Y
GLE-0000800,2025-04-06,GL-4002,Claims Expense,Adjustment,49966.09,0.00,POL-0022026,2025-04,sophie.clarke,Y
GLE-0000801,2025-01-06,GL-5002,Technology Costs,Claims Payment,0.00,18405.64,POL-0083819,2025-01,marcus.webb,Y
GLE-0000802,2025-05-16,GL-5001,Operating Costs,Premium Receipt,4369.76,0.00,POL-0082126,2025-05,marcus.webb,Y
GLE-0000803,2025-02-09,GL-6001,Regulatory Reserve,Premium Receipt,35393.67,0.00,POL-0063966,2025-02,marcus.webb,Y
GLE-0000804,2025-04-25,GL-4003,Commission Expense,Write-off,47413.20,0.00,POL-0009706,2025-04,marcus.webb,Y
GLE-0000805,2025-01-06,GL-4002,Claims Expense,Write-off,0.00,49293.75,POL-0040576,2025-01,raj.patel,Y
GLE-0000806,2025-03-01,GL-4003,Commission Expense,Premium Receipt,39076.21,0.00,POL-0080467,2025-03,sophie.clarke,Y
GLE-0000807,2025-05-31,GL-4004,Reinsurance Recoveries,Commission,0.00,25195.91,POL-0067047,2025-05,system_etl,Y
GLE-0000808,2025-02-23,GL-5002,Technology Costs,Premium Receipt,0.00,41433.43,POL-0060613,2025-02,marcus.webb,Y
GLE-0000809,2025-06-17,GL-5001,Operating Costs,Commission,26565.15,0.00,POL-0069240,2025-06,system_etl,Y
GLE-0000810,2025-03-11,GL-4001,Premium Income,Premium Receipt,0.00,29726.48,POL-0096522,2025-03,system_etl,Y
GLE-0000811,2025-04-30,GL-5002,Technology Costs,Commission,0.00,18876.31,POL-0049362,2025-04,system_etl,Y
GLE-0000812,2025-05-08,GL-5001,Operating Costs,Commission,0.00,48241.03,POL-0111313,2025-05,sophie.clarke,Y
GLE-0000813,2025-02-26,GL-5002,Technology Costs,Write-off,11895.17,0.00,POL-0029487,2025-02,system_etl,Y
GLE-0000814,2025-06-02,GL-4004,Reinsurance Recoveries,Write-off,35477.20,0.00,POL-0116095,2025-06,marcus.webb,Y
GLE-0000815,2025-01-21,GL-5001,Operating Costs,Premium Receipt,0.00,628.20,POL-0024206,2025-01,raj.patel,Y
GLE-0000816,2025-05-01,GL-4003,Commission Expense,Commission,31015.53,0.00,POL-0110184,2025-05,system_etl,Y
GLE-0000817,2025-03-26,GL-5002,Technology Costs,Premium Receipt,0.00,16518.54,POL-0066638,2025-03,sophie.clarke,Y
GLE-0000818,2025-06-23,GL-5001,Operating Costs,Adjustment,22775.00,0.00,POL-0013056,2025-06,marcus.webb,Y
GLE-0000819,2025-06-10,GL-4002,Claims Expense,Write-off,47651.05,0.00,POL-0033151,2025-06,raj.patel,Y
GLE-0000820,2025-02-02,GL-6001,Regulatory Reserve,Claims Payment,33308.29,0.00,POL-0119597,2025-02,marcus.webb,Y
GLE-0000821,2025-06-24,GL-5002,Technology Costs,Reinsurance,0.00,33306.58,POL-0024002,2025-06,marcus.webb,Y
GLE-0000822,2025-04-03,GL-5002,Technology Costs,Commission,27478.67,0.00,POL-0121942,2025-04,marcus.webb,Y
GLE-0000823,2025-06-16,GL-5002,Technology Costs,Reinsurance,0.00,38244.10,POL-0090227,2025-06,raj.patel,Y
GLE-0000824,2025-04-25,GL-4002,Claims Expense,Write-off,13930.67,0.00,POL-0080218,2025-04,system_etl,Y
GLE-0000825,2025-06-24,GL-4004,Reinsurance Recoveries,Commission,0.00,16611.19,POL-0009462,2025-06,system_etl,Y
GLE-0000826,2025-06-12,GL-4002,Claims Expense,Commission,32683.58,0.00,POL-0083532,2025-06,raj.patel,Y
GLE-0000827,2025-04-24,GL-6001,Regulatory Reserve,Reinsurance,11988.58,0.00,POL-0101618,2025-04,system_etl,Y
GLE-0000828,2025-01-06,GL-4002,Claims Expense,Write-off,1241.98,0.00,POL-0007462,2025-01,raj.patel,N
GLE-0000829,2025-04-13,GL-5001,Operating Costs,Premium Receipt,21378.96,0.00,POL-0118687,2025-04,sophie.clarke,N
GLE-0000830,2025-04-10,GL-6001,Regulatory Reserve,Claims Payment,0.00,48411.44,POL-0085958,2025-04,sophie.clarke,Y
GLE-0000831,2025-04-08,GL-4001,Premium Income,Premium Receipt,34505.97,0.00,POL-0057864,2025-04,raj.patel,Y
GLE-0000832,2025-04-09,GL-4003,Commission Expense,Commission,0.00,22022.58,POL-0106179,2025-04,system_etl,Y
GLE-0000833,2025-02-17,GL-5002,Technology Costs,Write-off,0.00,45003.89,POL-0040275,2025-02,marcus.webb,Y
GLE-0000834,2025-03-20,GL-6001,Regulatory Reserve,Claims Payment,0.00,44055.70,POL-0022734,2025-03,raj.patel,Y
GLE-0000835,2025-06-27,GL-4001,Premium Income,Premium Receipt,0.00,26292.10,POL-0113228,2025-06,sophie.clarke,Y
GLE-0000836,2025-03-18,GL-4002,Claims Expense,Claims Payment,23320.22,0.00,POL-0108889,2025-03,sophie.clarke,Y
GLE-0000837,2025-05-14,GL-4001,Premium Income,Adjustment,0.00,26540.94,POL-0058828,2025-05,sophie.clarke,Y
GLE-0000838,2025-05-26,GL-5002,Technology Costs,Adjustment,3959.19,0.00,POL-0064144,2025-05,raj.patel,Y
GLE-0000839,2025-02-19,GL-5002,Technology Costs,Reinsurance,0.00,43529.01,POL-0091410,2025-02,raj.patel,Y
GLE-0000840,2025-01-05,GL-4002,Claims Expense,Reinsurance,39236.52,0.00,POL-0013807,2025-01,raj.patel,Y
GLE-0000841,2025-06-23,GL-6001,Regulatory Reserve,Write-off,0.00,35797.78,POL-0088317,2025-06,system_etl,Y
GLE-0000842,2025-04-06,GL-6001,Regulatory Reserve,Commission,0.00,23620.22,POL-0028900,2025-04,system_etl,Y
GLE-0000843,2025-05-28,GL-4001,Premium Income,Premium Receipt,0.00,46736.42,POL-0110165,2025-05,system_etl,Y
GLE-0000844,2025-06-25,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,45322.36,POL-0076956,2025-06,marcus.webb,Y
GLE-0000845,2025-01-30,GL-4001,Premium Income,Adjustment,0.00,45500.24,POL-0124809,2025-01,raj.patel,Y
GLE-0000846,2025-05-21,GL-4001,Premium Income,Reinsurance,0.00,42405.83,POL-0046155,2025-05,system_etl,Y
GLE-0000847,2025-04-01,GL-4002,Claims Expense,Premium Receipt,22814.54,0.00,POL-0019332,2025-04,marcus.webb,Y
GLE-0000848,2025-05-30,GL-4004,Reinsurance Recoveries,Claims Payment,0.00,11826.78,POL-0116027,2025-05,system_etl,Y
GLE-0000849,2025-03-11,GL-5002,Technology Costs,Reinsurance,0.00,7320.76,POL-0006282,2025-03,sophie.clarke,Y
GLE-0000850,2025-06-23,GL-6001,Regulatory Reserve,Commission,14047.51,0.00,POL-0040617,2025-06,sophie.clarke,Y
GLE-0000851,2025-01-03,GL-4003,Commission Expense,Reinsurance,0.00,39203.10,POL-0094378,2025-01,raj.patel,Y
GLE-0000852,2025-03-28,GL-4004,Reinsurance Recoveries,Commission,35546.96,0.00,POL-0032512,2025-03,sophie.clarke,Y
GLE-0000853,2025-06-07,GL-4003,Commission Expense,Write-off,3411.38,0.00,POL-0071294,2025-06,sophie.clarke,Y
GLE-0000854,2025-01-02,GL-4003,Commission Expense,Adjustment,0.00,22602.37,POL-0024824,2025-01,raj.patel,Y
GLE-0000855,2025-03-04,GL-4004,Reinsurance Recoveries,Premium Receipt,0.00,17166.94,POL-0047844,2025-03,marcus.webb,Y
GLE-0000856,2025-01-20,GL-4001,Premium Income,Premium Receipt,31426.29,0.00,POL-0023789,2025-01,system_etl,Y
GLE-0000857,2025-01-04,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,895.17,POL-0018795,2025-01,sophie.clarke,Y
GLE-0000858,2025-06-09,GL-6001,Regulatory Reserve,Premium Receipt,0.00,38357.20,POL-0102479,2025-06,sophie.clarke,Y
GLE-0000859,2025-04-16,GL-4002,Claims Expense,Adjustment,0.00,4903.54,POL-0055746,2025-04,system_etl,Y
GLE-0000860,2025-05-26,GL-6001,Regulatory Reserve,Write-off,33360.94,0.00,POL-0025556,2025-05,raj.patel,Y
GLE-0000861,2025-05-10,GL-5002,Technology Costs,Write-off,0.00,40448.62,POL-0036932,2025-05,marcus.webb,Y
GLE-0000862,2025-03-16,GL-5002,Technology Costs,Reinsurance,15038.35,0.00,POL-0029783,2025-03,raj.patel,Y
GLE-0000863,2025-01-17,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,29769.87,POL-0001472,2025-01,marcus.webb,Y
GLE-0000864,2025-05-16,GL-6001,Regulatory Reserve,Commission,0.00,42854.91,POL-0084062,2025-05,sophie.clarke,Y
GLE-0000865,2025-06-16,GL-6001,Regulatory Reserve,Reinsurance,10453.05,0.00,POL-0041524,2025-06,sophie.clarke,Y
GLE-0000866,2025-06-20,GL-6001,Regulatory Reserve,Commission,0.00,42187.61,POL-0005174,2025-06,raj.patel,Y
GLE-0000867,2025-04-06,GL-4004,Reinsurance Recoveries,Write-off,42359.82,0.00,POL-0011830,2025-04,marcus.webb,Y
GLE-0000868,2025-02-10,GL-4003,Commission Expense,Reinsurance,0.00,47642.09,POL-0007153,2025-02,sophie.clarke,Y
GLE-0000869,2025-01-11,GL-5002,Technology Costs,Premium Receipt,0.00,39526.72,POL-0004703,2025-01,system_etl,Y
GLE-0000870,2025-05-18,GL-4002,Claims Expense,Commission,49875.70,0.00,POL-0052094,2025-05,raj.patel,N
GLE-0000871,2025-03-04,GL-4003,Commission Expense,Premium Receipt,48632.50,0.00,POL-0090236,2025-03,raj.patel,Y
GLE-0000872,2025-02-03,GL-5002,Technology Costs,Write-off,558.56,0.00,POL-0050526,2025-02,marcus.webb,Y
GLE-0000873,2025-05-04,GL-4004,Reinsurance Recoveries,Premium Receipt,0.00,36939.63,POL-0117929,2025-05,sophie.clarke,Y
GLE-0000874,2025-05-22,GL-5001,Operating Costs,Write-off,25098.09,0.00,POL-0101065,2025-05,marcus.webb,Y
GLE-0000875,2025-05-28,GL-4003,Commission Expense,Adjustment,3180.82,0.00,POL-0100152,2025-05,marcus.webb,Y
GLE-0000876,2025-04-19,GL-4002,Claims Expense,Reinsurance,0.00,41119.69,POL-0024037,2025-04,marcus.webb,Y
GLE-0000877,2025-02-21,GL-4001,Premium Income,Adjustment,26440.97,0.00,POL-0111864,2025-02,raj.patel,Y
GLE-0000878,2025-02-21,GL-4001,Premium Income,Claims Payment,0.00,12380.84,POL-0045219,2025-02,sophie.clarke,Y
GLE-0000879,2025-03-15,GL-4002,Claims Expense,Commission,19377.60,0.00,POL-0117637,2025-03,system_etl,Y
GLE-0000880,2025-06-06,GL-4003,Commission Expense,Reinsurance,8582.42,0.00,POL-0113451,2025-06,raj.patel,Y
GLE-0000881,2025-03-16,GL-4004,Reinsurance Recoveries,Adjustment,18361.48,0.00,POL-0046919,2025-03,marcus.webb,Y
GLE-0000882,2025-05-27,GL-4001,Premium Income,Reinsurance,17006.17,0.00,POL-0033056,2025-05,sophie.clarke,Y
GLE-0000883,2025-05-16,GL-4002,Claims Expense,Write-off,36569.56,0.00,POL-0112749,2025-05,sophie.clarke,Y
GLE-0000884,2025-03-26,GL-4002,Claims Expense,Reinsurance,14749.21,0.00,POL-0078512,2025-03,marcus.webb,Y
GLE-0000885,2025-02-14,GL-4002,Claims Expense,Commission,43396.98,0.00,POL-0000442,2025-02,marcus.webb,Y
GLE-0000886,2025-06-02,GL-4004,Reinsurance Recoveries,Adjustment,0.00,48465.35,POL-0024003,2025-06,sophie.clarke,Y
GLE-0000887,2025-04-10,GL-5001,Operating Costs,Reinsurance,14932.91,0.00,POL-0011510,2025-04,marcus.webb,Y
GLE-0000888,2025-02-04,GL-4003,Commission Expense,Claims Payment,30503.01,0.00,POL-0102916,2025-02,raj.patel,Y
GLE-0000889,2025-01-04,GL-5001,Operating Costs,Commission,0.00,49294.71,POL-0110180,2025-01,marcus.webb,Y
GLE-0000890,2025-01-15,GL-6001,Regulatory Reserve,Claims Payment,0.00,4179.34,POL-0026032,2025-01,raj.patel,Y
GLE-0000891,2025-03-30,GL-6001,Regulatory Reserve,Adjustment,25470.73,0.00,POL-0107506,2025-03,system_etl,Y
GLE-0000892,2025-05-02,GL-5002,Technology Costs,Commission,0.00,4673.92,POL-0097467,2025-05,system_etl,N
GLE-0000893,2025-05-25,GL-6001,Regulatory Reserve,Write-off,0.00,12150.25,POL-0008320,2025-05,marcus.webb,Y
GLE-0000894,2025-05-11,GL-4003,Commission Expense,Claims Payment,0.00,21558.18,POL-0054299,2025-05,system_etl,Y
GLE-0000895,2025-05-31,GL-4004,Reinsurance Recoveries,Premium Receipt,36307.58,0.00,POL-0023454,2025-05,system_etl,Y
GLE-0000896,2025-06-21,GL-4004,Reinsurance Recoveries,Adjustment,0.00,25026.72,POL-0074058,2025-06,system_etl,Y
GLE-0000897,2025-05-02,GL-4002,Claims Expense,Premium Receipt,21697.28,0.00,POL-0045156,2025-05,raj.patel,Y
GLE-0000898,2025-02-20,GL-4001,Premium Income,Write-off,36662.19,0.00,POL-0079882,2025-02,marcus.webb,Y
GLE-0000899,2025-03-19,GL-4003,Commission Expense,Commission,0.00,10807.72,POL-0110894,2025-03,raj.patel,Y
GLE-0000900,2025-03-27,GL-5002,Technology Costs,Adjustment,12787.45,0.00,POL-0106425,2025-03,marcus.webb,Y
GLE-0000901,2025-03-23,GL-5002,Technology Costs,Claims Payment,19816.72,0.00,POL-0036774,2025-03,raj.patel,Y
GLE-0000902,2025-06-10,GL-5002,Technology Costs,Adjustment,19430.74,0.00,POL-0051819,2025-06,raj.patel,Y
GLE-0000903,2025-02-18,GL-4004,Reinsurance Recoveries,Write-off,13328.10,0.00,POL-0041157,2025-02,system_etl,Y
GLE-0000904,2025-01-03,GL-4003,Commission Expense,Premium Receipt,5360.46,0.00,POL-0095714,2025-01,raj.patel,Y
GLE-0000905,2025-02-11,GL-5001,Operating Costs,Adjustment,43195.25,0.00,POL-0094214,2025-02,system_etl,Y
GLE-0000906,2025-04-02,GL-6001,Regulatory Reserve,Adjustment,36897.85,0.00,POL-0032675,2025-04,marcus.webb,Y
GLE-0000907,2025-06-05,GL-4004,Reinsurance Recoveries,Claims Payment,0.00,5515.72,POL-0122335,2025-06,raj.patel,Y
GLE-0000908,2025-01-06,GL-5001,Operating Costs,Adjustment,49368.44,0.00,POL-0048469,2025-01,sophie.clarke,Y
GLE-0000909,2025-04-16,GL-4004,Reinsurance Recoveries,Reinsurance,13718.27,0.00,POL-0079716,2025-04,sophie.clarke,Y
GLE-0000910,2025-03-15,GL-4001,Premium Income,Premium Receipt,0.00,27831.62,POL-0034410,2025-03,raj.patel,Y
GLE-0000911,2025-01-21,GL-5001,Operating Costs,Adjustment,0.00,42926.99,POL-0073366,2025-01,system_etl,Y
GLE-0000912,2025-02-05,GL-4001,Premium Income,Premium Receipt,0.00,22839.45,POL-0005217,2025-02,marcus.webb,Y
GLE-0000913,2025-02-07,GL-5002,Technology Costs,Claims Payment,28723.33,0.00,POL-0031681,2025-02,raj.patel,Y
GLE-0000914,2025-04-14,GL-5001,Operating Costs,Adjustment,42159.36,0.00,POL-0026838,2025-04,raj.patel,Y
GLE-0000915,2025-05-20,GL-6001,Regulatory Reserve,Adjustment,40967.41,0.00,POL-0108172,2025-05,sophie.clarke,Y
GLE-0000916,2025-03-03,GL-4004,Reinsurance Recoveries,Write-off,18222.71,0.00,POL-0096684,2025-03,system_etl,Y
GLE-0000917,2025-03-13,GL-4003,Commission Expense,Claims Payment,0.00,21628.81,POL-0051491,2025-03,marcus.webb,Y
GLE-0000918,2025-01-14,GL-4003,Commission Expense,Commission,36316.92,0.00,POL-0082644,2025-01,sophie.clarke,Y
GLE-0000919,2025-02-25,GL-4001,Premium Income,Claims Payment,37928.54,0.00,POL-0077481,2025-02,marcus.webb,Y
GLE-0000920,2025-04-11,GL-6001,Regulatory Reserve,Premium Receipt,8781.40,0.00,POL-0049130,2025-04,system_etl,Y
GLE-0000921,2025-05-12,GL-5001,Operating Costs,Write-off,0.00,19733.81,POL-0106885,2025-05,system_etl,Y
GLE-0000922,2025-03-02,GL-5002,Technology Costs,Commission,0.00,48949.77,POL-0023678,2025-03,marcus.webb,Y
GLE-0000923,2025-02-19,GL-4003,Commission Expense,Write-off,15110.48,0.00,POL-0082268,2025-02,marcus.webb,Y
GLE-0000924,2025-02-13,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,1247.59,POL-0122118,2025-02,system_etl,Y
GLE-0000925,2025-05-20,GL-6001,Regulatory Reserve,Write-off,29884.21,0.00,POL-0040642,2025-05,marcus.webb,Y
GLE-0000926,2025-02-12,GL-4002,Claims Expense,Adjustment,42864.40,0.00,POL-0051864,2025-02,system_etl,Y
GLE-0000927,2025-04-16,GL-6001,Regulatory Reserve,Write-off,0.00,22596.19,POL-0023597,2025-04,marcus.webb,Y
GLE-0000928,2025-03-09,GL-5001,Operating Costs,Write-off,0.00,10649.35,POL-0122466,2025-03,sophie.clarke,Y
GLE-0000929,2025-06-22,GL-4003,Commission Expense,Adjustment,43552.32,0.00,POL-0097175,2025-06,raj.patel,Y
GLE-0000930,2025-02-20,GL-4003,Commission Expense,Reinsurance,32834.37,0.00,POL-0090389,2025-02,marcus.webb,Y
GLE-0000931,2025-06-26,GL-5002,Technology Costs,Reinsurance,31707.06,0.00,POL-0064484,2025-06,sophie.clarke,Y
GLE-0000932,2025-03-09,GL-4003,Commission Expense,Reinsurance,0.00,30070.78,POL-0035863,2025-03,raj.patel,Y
GLE-0000933,2025-04-26,GL-4002,Claims Expense,Write-off,9975.66,0.00,POL-0083328,2025-04,marcus.webb,Y
GLE-0000934,2025-06-11,GL-4001,Premium Income,Commission,0.00,31954.99,POL-0005072,2025-06,raj.patel,Y
GLE-0000935,2025-04-12,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,23159.88,POL-0034980,2025-04,sophie.clarke,Y
GLE-0000936,2025-03-29,GL-4003,Commission Expense,Commission,48934.84,0.00,POL-0085774,2025-03,raj.patel,Y
GLE-0000937,2025-01-20,GL-4002,Claims Expense,Reinsurance,30909.39,0.00,POL-0103283,2025-01,raj.patel,Y
GLE-0000938,2025-05-25,GL-5001,Operating Costs,Write-off,0.00,21394.01,POL-0085981,2025-05,marcus.webb,Y
GLE-0000939,2025-01-14,GL-5002,Technology Costs,Claims Payment,0.00,32814.84,POL-0081404,2025-01,sophie.clarke,Y
GLE-0000940,2025-02-16,GL-5002,Technology Costs,Premium Receipt,0.00,44407.56,POL-0052825,2025-02,raj.patel,N
GLE-0000941,2025-06-28,GL-5001,Operating Costs,Reinsurance,0.00,18644.32,POL-0028671,2025-06,system_etl,Y
GLE-0000942,2025-04-26,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,39236.85,POL-0068102,2025-04,sophie.clarke,Y
GLE-0000943,2025-04-09,GL-4001,Premium Income,Reinsurance,0.00,10647.03,POL-0104267,2025-04,sophie.clarke,Y
GLE-0000944,2025-05-24,GL-4002,Claims Expense,Adjustment,0.00,26547.73,POL-0089938,2025-05,system_etl,Y
GLE-0000945,2025-01-08,GL-4002,Claims Expense,Write-off,42723.95,0.00,POL-0077324,2025-01,system_etl,Y
GLE-0000946,2025-05-23,GL-5002,Technology Costs,Write-off,39365.70,0.00,POL-0044492,2025-05,raj.patel,Y
GLE-0000947,2025-04-08,GL-4001,Premium Income,Claims Payment,47363.96,0.00,POL-0040406,2025-04,system_etl,Y
GLE-0000948,2025-05-25,GL-5001,Operating Costs,Write-off,0.00,37932.04,POL-0050447,2025-05,system_etl,Y
GLE-0000949,2025-05-06,GL-5002,Technology Costs,Reinsurance,0.00,16774.51,POL-0070310,2025-05,raj.patel,Y
GLE-0000950,2025-06-21,GL-5001,Operating Costs,Reinsurance,1060.58,0.00,POL-0034596,2025-06,raj.patel,Y
GLE-0000951,2025-02-16,GL-4002,Claims Expense,Claims Payment,49684.98,0.00,POL-0010908,2025-02,marcus.webb,Y
GLE-0000952,2025-02-16,GL-4002,Claims Expense,Premium Receipt,12445.16,0.00,POL-0007289,2025-02,marcus.webb,Y
GLE-0000953,2025-03-01,GL-4001,Premium Income,Reinsurance,0.00,29316.81,POL-0069654,2025-03,marcus.webb,Y
GLE-0000954,2025-02-08,GL-4003,Commission Expense,Premium Receipt,2799.27,0.00,POL-0020150,2025-02,sophie.clarke,Y
GLE-0000955,2025-02-03,GL-4004,Reinsurance Recoveries,Reinsurance,44150.39,0.00,POL-0045492,2025-02,sophie.clarke,Y
GLE-0000956,2025-04-21,GL-5002,Technology Costs,Premium Receipt,23001.54,0.00,POL-0065410,2025-04,sophie.clarke,Y
GLE-0000957,2025-03-17,GL-6001,Regulatory Reserve,Commission,0.00,43660.85,POL-0057467,2025-03,raj.patel,Y
GLE-0000958,2025-06-28,GL-4001,Premium Income,Reinsurance,0.00,13583.41,POL-0120183,2025-06,marcus.webb,Y
GLE-0000959,2025-06-27,GL-5001,Operating Costs,Premium Receipt,0.00,43598.45,POL-0074896,2025-06,sophie.clarke,Y
GLE-0000960,2025-05-07,GL-5002,Technology Costs,Adjustment,8735.52,0.00,POL-0013818,2025-05,marcus.webb,Y
GLE-0000961,2025-03-29,GL-5002,Technology Costs,Reinsurance,18464.96,0.00,POL-0096326,2025-03,system_etl,Y
GLE-0000962,2025-01-03,GL-4003,Commission Expense,Claims Payment,49021.43,0.00,POL-0088486,2025-01,raj.patel,Y
GLE-0000963,2025-05-30,GL-6001,Regulatory Reserve,Reinsurance,0.00,41152.06,POL-0090112,2025-05,raj.patel,Y
GLE-0000964,2025-01-16,GL-5001,Operating Costs,Claims Payment,404.48,0.00,POL-0072917,2025-01,raj.patel,Y
GLE-0000965,2025-03-01,GL-4003,Commission Expense,Write-off,9555.94,0.00,POL-0089332,2025-03,sophie.clarke,Y
GLE-0000966,2025-02-28,GL-4002,Claims Expense,Reinsurance,45723.17,0.00,POL-0078260,2025-02,sophie.clarke,Y
GLE-0000967,2025-04-01,GL-6001,Regulatory Reserve,Adjustment,0.00,38036.42,POL-0109563,2025-04,marcus.webb,Y
GLE-0000968,2025-02-26,GL-6001,Regulatory Reserve,Write-off,10885.99,0.00,POL-0073904,2025-02,system_etl,Y
GLE-0000969,2025-03-09,GL-4003,Commission Expense,Adjustment,0.00,2505.28,POL-0115579,2025-03,marcus.webb,Y
GLE-0000970,2025-06-25,GL-5001,Operating Costs,Premium Receipt,29626.98,0.00,POL-0045051,2025-06,raj.patel,Y
GLE-0000971,2025-04-05,GL-4002,Claims Expense,Reinsurance,0.00,10015.64,POL-0019714,2025-04,system_etl,Y
GLE-0000972,2025-04-01,GL-5002,Technology Costs,Commission,17965.10,0.00,POL-0092794,2025-04,raj.patel,Y
GLE-0000973,2025-06-20,GL-5002,Technology Costs,Claims Payment,0.00,30733.86,POL-0066566,2025-06,marcus.webb,Y
GLE-0000974,2025-05-13,GL-5001,Operating Costs,Write-off,0.00,32666.91,POL-0030095,2025-05,raj.patel,Y
GLE-0000975,2025-05-20,GL-4001,Premium Income,Write-off,0.00,17369.95,POL-0034659,2025-05,marcus.webb,Y
GLE-0000976,2025-01-11,GL-5001,Operating Costs,Reinsurance,20896.99,0.00,POL-0103974,2025-01,system_etl,Y
GLE-0000977,2025-04-16,GL-5001,Operating Costs,Write-off,0.00,10261.39,POL-0111275,2025-04,system_etl,N
GLE-0000978,2025-03-05,GL-5001,Operating Costs,Write-off,0.00,11420.26,POL-0070488,2025-03,marcus.webb,Y
GLE-0000979,2025-04-27,GL-4004,Reinsurance Recoveries,Write-off,40731.04,0.00,POL-0021514,2025-04,sophie.clarke,Y
GLE-0000980,2025-01-08,GL-5001,Operating Costs,Premium Receipt,0.00,18697.32,POL-0072949,2025-01,sophie.clarke,Y
GLE-0000981,2025-03-28,GL-4001,Premium Income,Reinsurance,0.00,4362.98,POL-0015441,2025-03,raj.patel,Y
GLE-0000982,2025-01-10,GL-4002,Claims Expense,Reinsurance,0.00,23755.79,POL-0002706,2025-01,system_etl,Y
GLE-0000983,2025-02-26,GL-4002,Claims Expense,Reinsurance,0.00,10129.37,POL-0005080,2025-02,marcus.webb,Y
GLE-0000984,2025-03-18,GL-5002,Technology Costs,Commission,39494.85,0.00,POL-0117815,2025-03,marcus.webb,Y
GLE-0000985,2025-05-03,GL-4001,Premium Income,Claims Payment,35656.51,0.00,POL-0087678,2025-05,raj.patel,Y
GLE-0000986,2025-04-25,GL-4003,Commission Expense,Reinsurance,0.00,8514.21,POL-0087892,2025-04,sophie.clarke,Y
GLE-0000987,2025-02-12,GL-4003,Commission Expense,Reinsurance,48434.66,0.00,POL-0045476,2025-02,raj.patel,Y
GLE-0000988,2025-05-06,GL-4004,Reinsurance Recoveries,Write-off,0.00,12934.93,POL-0011133,2025-05,sophie.clarke,Y
GLE-0000989,2025-02-21,GL-4003,Commission Expense,Commission,39058.32,0.00,POL-0093154,2025-02,sophie.clarke,Y
GLE-0000990,2025-01-31,GL-5002,Technology Costs,Claims Payment,49314.44,0.00,POL-0084268,2025-01,marcus.webb,Y
GLE-0000991,2025-05-11,GL-4002,Claims Expense,Premium Receipt,0.00,33037.96,POL-0111929,2025-05,raj.patel,Y
GLE-0000992,2025-02-23,GL-5002,Technology Costs,Write-off,0.00,21607.70,POL-0024306,2025-02,system_etl,Y
GLE-0000993,2025-04-25,GL-5002,Technology Costs,Commission,36875.81,0.00,POL-0065979,2025-04,marcus.webb,Y
GLE-0000994,2025-05-02,GL-4003,Commission Expense,Adjustment,48342.75,0.00,POL-0075356,2025-05,system_etl,N
GLE-0000995,2025-02-26,GL-6001,Regulatory Reserve,Commission,0.00,36134.07,POL-0041147,2025-02,sophie.clarke,Y
GLE-0000996,2025-06-18,GL-6001,Regulatory Reserve,Adjustment,37376.14,0.00,POL-0097319,2025-06,marcus.webb,Y
GLE-0000997,2025-01-15,GL-5002,Technology Costs,Claims Payment,21128.14,0.00,POL-0034105,2025-01,marcus.webb,Y
GLE-0000998,2025-01-26,GL-6001,Regulatory Reserve,Adjustment,22070.60,0.00,POL-0048878,2025-01,raj.patel,Y
GLE-0000999,2025-01-13,GL-6001,Regulatory Reserve,Commission,0.00,48341.66,POL-0019670,2025-01,system_etl,Y
GLE-0001000,2025-05-31,GL-4001,Premium Income,Write-off,9536.48,0.00,POL-0116829,2025-05,sophie.clarke,Y
GLE-0001001,2025-02-06,GL-5001,Operating Costs,Premium Receipt,0.00,39602.40,POL-0043476,2025-02,raj.patel,Y
GLE-0001002,2025-03-16,GL-4002,Claims Expense,Reinsurance,0.00,30095.39,POL-0025378,2025-03,sophie.clarke,Y
GLE-0001003,2025-06-21,GL-5002,Technology Costs,Premium Receipt,14139.02,0.00,POL-0056599,2025-06,raj.patel,Y
GLE-0001004,2025-02-09,GL-5002,Technology Costs,Adjustment,26245.68,0.00,POL-0036739,2025-02,system_etl,Y
GLE-0001005,2025-06-30,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,38781.77,POL-0019364,2025-06,sophie.clarke,Y
